title,type,wikipedia,appeared,country,atlas,ebrains,brainMuseum,model,description,reference,atlasPaper
Acupuncture,procedure,https://en.wikipedia.org/wiki/Acupuncture,-100,China,,,,,,,
Atharvaveda,text,https://en.wikipedia.org/wiki/Atharvaveda,-1200,India,,,,,,,
Edwin Smith Papyrus,text,https://en.wikipedia.org/wiki/Edwin_Smith_Papyrus,-1600,Egypt,,,,,,,
Huangdi Neijing,text,https://en.wikipedia.org/wiki/Huangdi_Neijing,-200,China,,,,,,,
Humoral Theory,philosophy model,https://en.wikipedia.org/wiki/Humorism,-400,,,,,"type humor
bloodHumor
phlegmHumor
yellowBileHumor
blackBileHumor
humor causes condition",,,
Trepanation,procedure,https://en.wikipedia.org/wiki/Trepanning,-5000,,,,,,A surgical intervention in which a hole is drilled or scraped into the human skull.,,
Ayurveda,philosophy model,https://en.wikipedia.org/wiki/Ayurveda,,India,,,,,,,
Elephant Brain,species,,,,,,https://brainmuseum.org/specimens/proboscidea/elephant/index.html,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4053853/,
Germ Theory,model,https://en.wikipedia.org/wiki/Germ_theory_of_disease,,,,,,"type microbe
// https://en.wikipedia.org/wiki/Microorganism
microbe causes condition",,,
Human Brain,species,https://en.wikipedia.org/wiki/Human_brain,,,,https://www.ebrains.eu/tools/human-brain-atlas,,,,,
Mouse Brain,species,https://en.wikipedia.org/wiki/Mouse_brain,,,,https://www.ebrains.eu/tools/mouse-brain,,,,,
Alzheimer's disease,condition,https://en.wikipedia.org/wiki/Alzheimer%27s_disease,,,,,,,,,
Amygdala,part,https://en.wikipedia.org/wiki/Amygdala,,,,,,,,,
Anxiety disorder,condition,https://en.wikipedia.org/wiki/Anxiety_disorder,,,,,,,,,
Attention deficit hyperactivity disorder,condition,https://en.wikipedia.org/wiki/Attention_deficit_hyperactivity_disorder,,,,,,,,,
Autism spectrum disorder,condition,https://en.wikipedia.org/wiki/Autism_spectrum_disorder,,,,,,,,,
Basal Ganglia,part,https://en.wikipedia.org/wiki/Basal_ganglia,,,,,,,,,
Bipolar disorder,condition,https://en.wikipedia.org/wiki/Bipolar_disorder,,,,,,,,,
Brain tumor,condition,https://en.wikipedia.org/wiki/Brain_tumor,,,,,,,,,
C. Elegans Brain ,species,,,,https://wormatlas.org/,,,,,,
Cat Brain,species,,,,https://brainmuseum.org/specimens/carnivora/cat/sections/thumbnail.html,,,,,,
Cerebellum,part,https://en.wikipedia.org/wiki/Cerebellum,,,,,,,,,
Cerebrum,part,https://en.wikipedia.org/wiki/Cerebrum,,,,,,,,,
Corpus Callosum,part,https://en.wikipedia.org/wiki/Corpus_callosum,,,,,,,,,
Dementia,condition,https://en.wikipedia.org/wiki/Dementia,,,,,,,,,
Depression,condition,https://en.wikipedia.org/wiki/Depression_(mood),,,,,,,,,
Dog Brain,species,,,,http://vanat.cvm.umn.edu/brainAtlas/,,,,,,
Epilepsy,condition,https://en.wikipedia.org/wiki/Epilepsy,,,,,,,,,
Fruit Fly Brain,species,,,,https://www.virtualflybrain.org/,,,,,,
Hippocampus,part,https://en.wikipedia.org/wiki/Hippocampus,,,,,,,,,
Huntington's disease,condition,https://en.wikipedia.org/wiki/Huntington%27s_disease,,,,,,,,,
Hypothalamus,part,https://en.wikipedia.org/wiki/Hypothalamus,,,,,,,,,
Kangaroo Brain,species,,,,,,https://brainmuseum.org/specimens/diprotodontia/redkangaroo/index.html,,,,
Miasma Theory,model,,,,,,,"type miasma
miasma causes condition",,,
Midbrain,part,https://en.wikipedia.org/wiki/Midbrain,,,,,,,,,
Migraine,condition,https://en.wikipedia.org/wiki/Migraine,,,,,,,,,
Monkey Brain,species,,,,,https://www.ebrains.eu/tools/monkey-brain-atlas,,,,,
Multiple sclerosis,condition,https://en.wikipedia.org/wiki/Multiple_sclerosis,,,,,,,,,
Narcolepsy,condition,https://en.wikipedia.org/wiki/Narcolepsy,,,,,,,,,
Obsessive-compulsive disorder,condition,https://en.wikipedia.org/wiki/Obsessive%E2%80%93compulsive_disorder,,,,,,,,,
Octopus Brain,species,,,,,,,,,,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6120969/
Parkinson's disease,condition,https://en.wikipedia.org/wiki/Parkinson%27s_disease,,,,,,,,,
Pons,part,https://en.wikipedia.org/wiki/Pons,,,,,,,,,
Post-traumatic stress disorder,condition,https://en.wikipedia.org/wiki/Post-traumatic_stress_disorder,,,,,,,,,
Rabbit Brain,species,,,,,,https://brainmuseum.org/specimens/lagomorpha/domesticrabbit/index.html,,,,
Rat Brain,species,,,,,https://www.ebrains.eu/tools/rat-brain,,,,,
Schizophrenia,condition,https://en.wikipedia.org/wiki/Schizophrenia,,,,,,,,,
Stroke,condition,https://en.wikipedia.org/wiki/Stroke,,,,,,,,,
Thalamus,part,https://en.wikipedia.org/wiki/Thalamus,,,,,,,,,
Tourette syndrome,condition,https://en.wikipedia.org/wiki/Tourette_syndrome,,,,,,,,,
Traumatic brain injury,condition,https://en.wikipedia.org/wiki/Traumatic_brain_injury,,,,,,,,,
Zebra Brain,species,,,,,,https://brainmuseum.org/specimens/perissodactyla/zebra/index.html,,,,
Zebrafish Brain,species,,,,https://azba.wayne.edu/,,,,,,